Metabolite,Compound_ID_X01,Original_Metabolite_Name,HMDB_ID,Known_Compound,Included_X01,Included_Pilot,Included_MESA2,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
HILIC_X1.Methyl.nicotinamide,QI19010,1-Methyl nicotinamide,HMDB0000699,1,1,1,1,HILIC,1,2.169970254207016,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X1.Methyladenosine,QI18242,1-Methyladenosine,HMDB0003331,1,1,1,1,HILIC,1,5.691049908165025,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X1.Methylguanine,QI14720,1-Methylguanine,HMDB0003282,1,1,1,1,HILIC,1,14.377527685040828,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X1.Methylguanosine,QI14503,1-Methylguanosine,HMDB0001563,1,1,1,1,HILIC,1,17.48546825966052,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X3.Methylhistidine,TF00002,3-Methylhistidine,HMDB0000479,1,1,1,1,HILIC,1,4.134586353355959,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X4.Acetamidobutanoic.acid,TF00003,4-Acetamidobutanoic acid,HMDB0003681,1,1,1,1,HILIC,1,5.966986832838268,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_X7.Methylguanine,QI15539,7-Methylguanine,HMDB0000897,1,1,1,1,HILIC,1,10.671142151717202,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Acisoga,QI15337,Acisoga,HMDB0061384,1,1,1,1,HILIC,1,2.6509656461552065,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Alanine,QI18372,Alanine,HMDB0000161,1,1,1,1,HILIC,1,2.1927318051057023,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Aminoisobutyric.acid,TF00001,Aminoisobutyric acid,HMDB0001906,1,1,1,1,HILIC,1,10.883036189888642,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Arginine,QI19604,Arginine,HMDB0000517,1,1,1,1,HILIC,1,4.481762401648406,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Betaine,QI19532,Betaine,HMDB0000043,1,1,1,1,HILIC,1,1.5352733729076598,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Biliverdin,QI07397,Biliverdin,HMDB0001008,1,1,1,1,HILIC,1,5.627984742578375,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Carnitine,QI19440,Carnitine,HMDB0000062,1,1,1,1,HILIC,1,1.4705787549859648,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Choline,QI19050,Choline,HMDB0000097,1,1,1,1,HILIC,1,2.0092915611731885,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Citrulline,QI19110,Citrulline,HMDB0000904,1,1,1,1,HILIC,1,2.3472598901254127,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Cortisol,QI07638,Cortisol,HMDB0000063,1,1,1,1,HILIC,1,10.074904699061104,533,0.047058823529411764,0.09214466712739,0.03322259136212625,0.05828354946816262
HILIC_Creatine,QI19074,Creatine,HMDB0000064,1,1,1,1,HILIC,1,2.1636248618690663,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Creatinine,QI16602,Creatinine,HMDB0000562,1,1,1,1,HILIC,1,2.458226953852174,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Cystine,TF00008,Cystine,HMDB0000192,1,1,1,1,HILIC,1,5.990813740748459,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Cytosine,QI16215,Cytosine,HMDB0000630,1,1,1,1,HILIC,1,11.580236036598894,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Diethanolamine,QI18608,Diethanolamine,HMDB0004437,1,1,1,1,HILIC,1,9.590225679850601,535,0.047058823529411764,1.4512785072563925,0,0.4808392831123416
HILIC_Dimethylarginine.and.Symmetric.dimethyl.arginine,TF00006,Dimethylarginine and Symmetric dimethyl-arginine,HMDB0001539,1,1,1,1,HILIC,1,10.439105891602575,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Dimethylglycine,QI19236,Dimethylglycine,HMDB0000092,1,1,1,1,HILIC,1,2.405984549701839,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_DMGV,TF00009,DMGV,HMDB0240212,1,1,1,1,HILIC,1,4.805180277871625,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_gamma.Aminobutyric.acid,TF00010,gamma-Aminobutyric acid,HMDB0000112,1,1,1,1,HILIC,1,6.157797394267053,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Glu.Gln,QI19219,Glu-Gln,HMDB0028817,1,1,1,1,HILIC,1,4.937558930724473,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Glutamic.acid,QI18171,Glutamic acid,HMDB0000148,1,1,1,1,HILIC,1,4.149637307205908,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Glutamine,QI18800,Glutamine,HMDB0000641,1,1,1,1,HILIC,1,1.732910862870719,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Glycine,TF00011,Glycine,HMDB0000123,1,1,1,1,HILIC,1,3.843040287440538,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Histidine,TF00012,Histidine,HMDB0000177,1,1,1,1,HILIC,1,5.632440503907761,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Homoarginine,QI19634,Homoarginine,HMDB0000670,1,1,1,1,HILIC,1,12.177964976026379,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Hydroxyproline,QI18506,Hydroxyproline,HMDB0000725,1,1,1,1,HILIC,1,3.6263398239810347,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Isoleucine,TF00013,Isoleucine,HMDB0000172,1,1,1,1,HILIC,1,2.4942028046007745,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Leucine,TF00014,Leucine,HMDB0000687,1,1,1,1,HILIC,1,2.7195170506152295,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Lysine,QI19739,Lysine,HMDB0000182,1,1,1,1,HILIC,1,2.8677594792163514,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Methionine,QI17233,Methionine,HMDB0000696,1,1,1,1,HILIC,1,2.9189808374843147,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_Methionine.sulfoxide,QI19340,Methionine sulfoxide,HMDB0002005,1,1,1,1,HILIC,1,6.874615683628813,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N.6..N.6..Dimethyl.lysine,QI05474,"N(6),N(6)-Dimethyl-lysine",HMDB0013287,1,1,1,1,HILIC,1,4.189479370121784,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N.6..Methyllysine,QI19881,N(6)-Methyllysine,HMDB0002038,1,1,1,1,HILIC,1,3.379911810454134,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N1.Acetylspermidine,QI19919,N1-Acetylspermidine,HMDB0001276,1,1,1,1,HILIC,1,3.989358397322344,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N1.Methyl.2.pyridone.5.carboxamide,QI12887,N1-Methyl-2-pyridone-5-carboxamide,HMDB0004193,1,1,1,1,HILIC,1,6.259474122951296,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N1.Methyl.4.pyridone.3.carboxamide,QI14343,N1-Methyl-4-pyridone-3-carboxamide,NA,1,1,1,1,HILIC,1,7.741434084626718,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N2.N2.Dimethylguanosine,QI14900,"N2,N2-Dimethylguanosine",HMDB0004824,1,1,1,1,HILIC,1,11.274358660683523,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_N4.Acetylcytidine,QI12844,N4-Acetylcytidine,HMDB0005923,1,1,1,1,HILIC,1,4.614852341654948,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
